,Game,Price,Offers,Tags,Day
6262,PARSE,0.5,5.0,"Niezalezne, Strategiczne",2019/05/02
6263,UnnyWorld - Founder's Pack,0.5,3.0,"Niezalezne, Akcja, RPG, Strategiczne, Darmowe, MMO",2019/05/02
6264,Colorless Life,0.5,3.0,"Niezalezne, Symulacje, Akcja, Przygodowe, Rekreacyjne",2019/05/02
6265,German Fortress 3D,0.5,1.0,"Niezalezne, Akcja",2019/05/02
6266,Molemen Must Die!,0.69,2.0,"Niezalezne, Akcja",2019/05/02
6267,Neon Hardcore,0.5,2.0,"Niezalezne, Akcja",2019/05/02
6268,Lawnmower Game,0.5,2.0,"Niezalezne, Symulacje",2019/05/02
6269,Violent Vectors,0.5,7.0,"Niezalezne, Akcja",2019/05/02
6270,Disco Time 80s VR,0.5,5.0,"Niezalezne, Symulacje, Rekreacyjne",2019/05/02
6271,Rogue Port - Red Nightmare,0.5,2.0,"Niezalezne, RPG, Przygodowe",2019/05/02
6272,Guardian's Oath,0.5,10.0,"Niezalezne, Akcja, RPG",2019/05/02
6273,ISEE,0.5,3.0,"Niezalezne, Symulacje, Przygodowe, Rekreacyjne",2019/05/02
6274,Retro Space Shooter,0.5,7.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/02
6275,Clash of Castle,0.5,5.0,"Niezalezne, Wczesny dostep, Akcja, Strategiczne, Rekreacyjne",2019/05/02
6276,Crap Attack,0.5,5.0,"Niezalezne, Akcja, Przygodowe, Rekreacyjne",2019/05/02
6277,SurvivalZ,0.5,4.0,"Niezalezne, Wczesny dostep, Akcja, Przygodowe, Rekreacyjne",2019/05/02
6278,The guard of dungeon,0.5,4.0,"Niezalezne, Akcja",2019/05/02
6279,Night Fly,0.5,4.0,"Niezalezne, Przygodowe",2019/05/02
6280,Twilight Destroyers pack,0.5,2.0,"RPG, Strategiczne, Darmowe, MMO",2019/05/02
6281,Bloodbath Kavkaz - Soundtrack,0.5,1.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
6282,Party Jousting - Zombie Pack,0.5,4.0,"Niezalezne, Sportowe, Rekreacyjne, Darmowe",2019/05/02
6283,Forge of Gods: Team of Justice Pack,0.5,3.0,"RPG, Strategiczne, Darmowe, MMO",2019/05/02
6284,Mighty Party: Battle and Toads,0.5,6.0,"Akcja, RPG, Strategiczne, Przygodowe, Darmowe, MMO",2019/05/02
6285,Wanderland: Starter Pack,0.5,4.0,"Przygodowe, Rekreacyjne, Darmowe",2019/05/02
6286,Star Shield Down,0.5,1.0,"Niezalezne, Symulacje, Akcja, Rekreacyjne",2019/05/02
6287,Trials of The Illuminati: Women of Beauty Jigsaws,0.5,3.0,"Niezalezne, Symulacje, Rekreacyjne",2019/05/02
6288,Story of a Cube Soundtrack,0.5,1.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
6289,Phobia,0.5,3.0,"Niezalezne, Akcja",2019/05/02
6290,Nyctophobia,0.5,1.0,"Niezalezne, Przygodowe",2019/05/02
6291,Hard Rock Zombie Truck Plastiline,2.99,1.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
6292,Elliot Quest,1.69,3.0,"Niezalezne, Akcja, RPG, Przygodowe",2019/05/02
6293,Story of a Cube,0.69,4.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
6294,Death's Life,3.5,1.0,"Niezalezne, Rekreacyjne",2019/05/02
6295,Poöf,3.5,1.0,"Niezalezne, Akcja, Strategiczne",2019/05/02
6296,Arcane RERaise - Deluxe Edition,2.99,1.0,"Niezalezne, RPG, Strategiczne, Przygodowe, Rekreacyjne",2019/05/02
6297,Scania Truck Driving Simulator,10.0,1.0,"Niezalezne, Symulacje",2019/05/02
6298,Joy Climb,1.0,1.0,"Niezalezne, Akcja",2019/05/02
6299,Space Girls,0.5,2.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/02
6300,War for the Overworld - Yogscast Worker Skin (Charity DLC),2.0,1.0,"Niezalezne, Strategiczne",2019/05/02
6301,Weird Dungeon Explorer: Defender,0.5,1.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/02
6302,Sandstorm,1.41,2.0,"Niezalezne, Akcja, Przygodowe, Rekreacyjne",2019/05/02
6303,I am Weapon: Revival,3.85,2.0,"Niezalezne, Akcja, RPG",2019/05/02
6304,The Lost Valley,2.99,1.0,"Niezalezne, Symulacje, Akcja, Przygodowe, Rekreacyjne",2019/05/02
6305,East India Company,1.0,2.0,Strategiczne,2019/05/02
6306,East Tower - Akio,1.5,1.0,"Niezalezne, Symulacje, Przygodowe, Rekreacyjne",2019/05/02
6307,Space Ripper Plastiline,2.99,1.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/02
6308,LOOT BOX ACHIEVEMENT SIMULATOR,0.69,1.0,"Niezalezne, Symulacje",2019/05/02
6309,Kapsul Infinite,2.5,1.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/02
6310,Nepenthe,2.99,1.0,"Niezalezne, Akcja, RPG, Przygodowe",2019/05/02
6311,Primitive Survival,0.5,2.0,"Niezalezne, Symulacje, Akcja, Strategiczne, Przygodowe",2019/05/02
6312,Drift Stunt Racing 2019,0.5,1.0,"Niezalezne, Symulacje, Wyscigi, Sportowe",2019/05/02
6313,"A.D.M(Angels,Demons And Men)",0.5,2.0,"Niezalezne, Akcja, RPG",2019/05/02
6314,Street Warriors Online,2.49,1.0,"Symulacje, Akcja, Sportowe, MMO",2019/05/02
6315,Fly and Destroy,0.5,8.0,"Niezalezne, Akcja, Strategiczne, Przygodowe, Rekreacyjne",2019/05/02
6316,VR Snowballs,0.8,1.0,Rekreacyjne,2019/05/02
6317,PolyRace,1.7,1.0,"Niezalezne, Wyscigi",2019/05/02
6318,Age of Fear 2: The Chaos Lord,4.95,2.0,"Niezalezne, RPG, Strategiczne",2019/05/02
6319,Star Trek: Starfleet Command Gold Edition,5.0,1.0,"Symulacje, Akcja, Strategiczne",2019/05/02
6320,SkyDrift,2.0,1.0,"Niezalezne, Wyscigi",2019/05/02
6321,Wanderland: Advanced Adventurer Pack,0.5,1.0,"Przygodowe, Rekreacyjne",2019/05/02
6322,Subject 9,3.5,1.0,"Niezalezne, Akcja, Strategiczne",2019/05/02
6323,Hydrophobia: Prophecy,3.5,1.0,"Niezalezne, Akcja, Strategiczne, Przygodowe",2019/05/02
6324,RETSNOM,3.5,1.0,"Niezalezne, Akcja",2019/05/02
6325,Super Panda Adventures,3.5,1.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
6326,3079 -- Block Action RPG,3.5,1.0,"Niezalezne, Akcja, RPG",2019/05/02
6327,Sudoku Quest,3.5,1.0,"Niezalezne, Rekreacyjne",2019/05/02
6328,Legena: Union Tides,0.5,2.0,"Niezalezne, RPG",2019/05/02
6329,Armed with Wings: Rearmed,4.0,2.0,"Niezalezne, Akcja",2019/05/02
6330,A Tale of Caos: Overture,1.0,4.0,"Niezalezne, Przygodowe",2019/05/02
6331,Dementium II HD,1.49,2.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
6332,Guardians of Middle-earth,3.8,2.0,"Akcja, Strategiczne",2019/05/02
6333,Avencast: Rise of the Mage,0.5,8.0,"Niezalezne, Akcja, RPG",2019/05/02
6334,Watch This!,1.39,1.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
6335,Vinylove,2.99,1.0,"Niezalezne, Symulacje, Wczesny dostep, Przygodowe, Rekreacyjne",2019/05/02
6336,Stalker Crab Simulator,3.99,1.0,"Niezalezne, Przygodowe",2019/05/02
6337,Angelica Weaver: Catch Me When You Can,0.5,4.0,"Przygodowe, Rekreacyjne",2019/05/02
6338,Mastema: Out of Hell,1.4,2.0,"Niezalezne, Akcja, Przygodowe, Rekreacyjne",2019/05/02
6339,Hyper Fighters,0.5,5.0,Akcja,2019/05/02
6340,Jet Racing Extreme,0.7,2.0,"Niezalezne, Symulacje, Akcja, Wyscigi, Sportowe",2019/05/02
6341,Dynamite Jack,3.3,1.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
6342,SUPER DISTRO,0.99,1.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
6343,Hook,2.0,1.0,"Niezalezne, Rekreacyjne",2019/05/02
6344,Legend of Miro,3.0,1.0,"Niezalezne, RPG, Przygodowe",2019/05/02
6345,Solar Gun,1.99,1.0,"Niezalezne, Rekreacyjne",2019/05/02
6346,Nearwood - Collector's Edition,12.99,1.0,Przygodowe,2019/05/02
6347,Baldur's Gate II: Enhanced Edition Official Soundtrack,3.97,2.0,"RPG, Strategiczne",2019/05/02
6348,Castle Werewolf 3D,1.99,1.0,"Niezalezne, Akcja",2019/05/02
6349,Idolzzz,1.99,1.0,"Niezalezne, Przygodowe, Rekreacyjne",2019/05/02
6350,Super Trashforce,1.99,1.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
6351,The Divine Paradox,1.99,1.0,RPG,2019/05/02
6352,Sparkle 2 Evo,0.5,5.0,"Niezalezne, Symulacje, Akcja, Rekreacyjne",2019/05/02
6353,Dean Daimon,0.5,3.0,"Niezalezne, Akcja, Wyscigi, Rekreacyjne",2019/05/02
6354,Sunset's Ashes,4.99,1.0,"Niezalezne, Rekreacyjne, Darmowe",2019/05/02
6355,Reach Me,0.9,1.0,"Niezalezne, Rekreacyjne",2019/05/02
6356,Dexodonex,4.99,1.0,"Niezalezne, Rekreacyjne",2019/05/02
6357,Shuttle Siege,3.99,1.0,"Niezalezne, Strategiczne",2019/05/02
6358,Shadows 2: Perfidia,1.4,1.0,"Niezalezne, Akcja, Przygodowe, Rekreacyjne",2019/05/02
6359,Glowfish,0.5,8.0,"Niezalezne, Przygodowe, Rekreacyjne",2019/05/02
6360,Stream Games,1.0,1.0,"Niezalezne, Rekreacyjne",2019/05/02
6361,LUFTRAUSERS,5.79,3.0,"Niezalezne, Symulacje, Akcja",2019/05/02
6362,Bridge Constructor Medieval,2.0,1.0,"Niezalezne, Symulacje, Rekreacyjne",2019/05/02
6363,Rabiez: Epidemic,0.5,7.0,"Niezalezne, Strategiczne",2019/05/02
6364,Insincere,0.5,7.0,"Niezalezne, Akcja",2019/05/02
6365,PulseCharge,0.5,7.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
6366,The Dreamlord,0.5,6.0,"Niezalezne, Przygodowe, Rekreacyjne",2019/05/02
6367,Elements: Soul of Fire,0.5,9.0,"Niezalezne, RPG",2019/05/02
6368,Radical Spectrum: Volume 1,0.5,5.0,Akcja,2019/05/02
6369,Outrage,0.5,5.0,"Niezalezne, RPG, Przygodowe",2019/05/02
6370,Project Starship,0.5,4.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/02
6371,State of Anarchy,0.5,1.0,"Niezalezne, Symulacje, Akcja, Rekreacyjne",2019/05/02
6372,Turbo Pug DX,0.5,5.0,"Niezalezne, Rekreacyjne",2019/05/02
6373,Turbo Pug,0.5,12.0,"Niezalezne, Rekreacyjne",2019/05/02
6374,Town of Night,0.5,3.0,"Niezalezne, RPG, Przygodowe",2019/05/02
6375,Terra Incognita ~ Chapter One: The Descendant,0.5,9.0,"Niezalezne, Wczesny dostep, RPG, Przygodowe",2019/05/02
6376,Super Mustache,0.5,3.0,"Niezalezne, Akcja, Przygodowe, Rekreacyjne",2019/05/02
6377,Stone Age Wars,0.5,4.0,"Niezalezne, Akcja, Strategiczne",2019/05/02
6378,Star Fields,0.5,4.0,"Niezalezne, Rekreacyjne",2019/05/02
6379,Star Drifter,0.5,6.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/02
6380,Star Chronicles: Delta Quadrant,0.5,7.0,"Niezalezne, Strategiczne",2019/05/02
6381,Shape Shifter,0.5,6.0,"Niezalezne, Rekreacyjne",2019/05/02
6382,Project Druid - 2D Labyrinth Explorer-,0.5,10.0,"Niezalezne, Rekreacyjne",2019/05/02
6383,New kind of adventure,0.5,6.0,"Niezalezne, Wczesny dostep, RPG, Przygodowe",2019/05/02
6384,Neon Hardcorps,0.5,4.0,"Niezalezne, Akcja",2019/05/02
6385,Monster Puzzle,0.5,7.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/02
6386,Midnight Carnival,0.5,2.0,"Wczesny dostep, Rekreacyjne",2019/05/02
6387,Laraan,0.5,3.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
6388,"Kivi, Toilet and Shotgun",0.5,6.0,"Niezalezne, Akcja, Przygodowe, Rekreacyjne",2019/05/02
6389,Hyper color ball,0.5,10.0,"Niezalezne, Symulacje, Rekreacyjne",2019/05/02
6390,Germ Wars,0.5,10.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/02
6391,Freebie,0.5,13.0,"Niezalezne, Rekreacyjne",2019/05/02
6392,Flesh Eaters,0.5,8.0,"Niezalezne, Symulacje, Akcja, RPG, Przygodowe",2019/05/02
6393,Final Quest II,0.5,4.0,"Niezalezne, RPG",2019/05/02
6394,Escape Machines,0.5,14.0,"Niezalezne, Wczesny dostep, Akcja, RPG, Strategiczne, Przygodowe",2019/05/02
6395,Eaten Alive,0.5,7.0,Niezalezne,2019/05/02
6396,Cosmic Dust & Rust,0.5,4.0,"Niezalezne, Akcja, Strategiczne, Rekreacyjne",2019/05/02
6397,Clergy Splode,0.5,7.0,"Niezalezne, Akcja",2019/05/02
6398,Catch a Falling Star,0.5,8.0,"Niezalezne, Rekreacyjne",2019/05/02
6399,Calcu-Late,0.5,5.0,"Niezalezne, RPG, Przygodowe",2019/05/02
6400,Ampersand,0.5,4.0,"Niezalezne, Wyscigi",2019/05/02
6401,JDM Tuner Racing,0.89,1.0,"Symulacje, Akcja, Wyscigi, Sportowe",2019/05/02
6402,Street Racing-OST,0.5,1.0,"Niezalezne, Symulacje, Wyscigi, Sportowe",2019/05/02
6403,Last Dream: Complete Edition,1.99,1.0,"Niezalezne, RPG",2019/05/02
6404,Wanda - A Beautiful Apocalypse,1.99,1.0,"Niezalezne, RPG, Rekreacyjne",2019/05/02
6405,Solar 2,1.99,1.0,"Niezalezne, Rekreacyjne",2019/05/02
6406,LEGO Indiana Jones 2: The Adventure Continues,14.0,1.0,Przygodowe,2019/05/02
6407,Unlikely Stickman,0.5,2.0,Akcja,2019/05/02
6408,The Lost Wizard,0.84,1.0,"Niezalezne, Przygodowe",2019/05/02
6409,Disastr_Blastr,0.6,2.0,"Niezalezne, Akcja",2019/05/02
6410,Pipes!,0.9,1.0,"Niezalezne, Rekreacyjne",2019/05/02
6411,Zombie Driver HD,3.5,2.0,"Niezalezne, Akcja, Wyscigi",2019/05/02
6412,Oozi: Earth Adventure,2.0,1.0,"Niezalezne, Rekreacyjne",2019/05/02
6413,Depth Hunter 2: Deep Dive,0.75,5.0,"Niezalezne, Symulacje, Akcja, Przygodowe, Sportowe, Rekreacyjne",2019/05/02
6414,Road Redemption,19.99,1.0,"Niezalezne, Symulacje, Akcja, Przygodowe, Wyscigi",2019/05/02
6415,Double Cross,15.99,1.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
6416,Lone Pirate VR,3.0,1.0,"Akcja, Przygodowe",2019/05/02
6417,House Party,25.0,1.0,"Niezalezne, Symulacje, Wczesny dostep, Przygodowe, Rekreacyjne",2019/05/02
6418,Renoir,11.99,1.0,"Niezalezne, Przygodowe",2019/05/02
6419,Earth 2160 - Digital Deluxe Version,5.99,1.0,Strategiczne,2019/05/02
6420,The Walking Dead: 400 Days,10.9,2.0,Przygodowe,2019/05/02
6421,7 Days to Die,30.0,1.0,"Niezalezne, Symulacje, Wczesny dostep, Akcja, RPG, Strategiczne, Przygodowe",2019/05/02
6422,Ashley Clark: Secret of the Ruby,9.0,1.0,"Niezalezne, Przygodowe, Rekreacyjne",2019/05/02
6423,Vox,5.99,1.0,"Niezalezne, Wczesny dostep, Akcja, RPG, Przygodowe",2019/05/02
6424,SCALPERS: Turtle & the Moonshine Gang,1.48,5.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
6425,Gift of Life: Key of Solomon,1.1,1.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
6426,Orbitality,1.8,1.0,"Niezalezne, Akcja",2019/05/02
6427,The Haunted Graveyard,2.0,1.0,"Przygodowe, Rekreacyjne",2019/05/02
6428,Drunk or Dead,3.0,1.0,"Niezalezne, Symulacje, Akcja",2019/05/02
6429,Painkiller: Recurring Evil,9.5,1.0,Akcja,2019/05/02
6430,Space Pilgrim Episode IV: Sol,0.5,2.0,"Niezalezne, Przygodowe",2019/05/02
6431,Space Pilgrim Episode III: Delta Pavonis,0.5,3.0,"Niezalezne, Przygodowe",2019/05/02
6432,Skullgirls: Beowulf,2.29,2.0,"Niezalezne, Akcja",2019/05/02
6433,Skullgirls: Eliza,2.3,2.0,"Niezalezne, Akcja",2019/05/02
6434,Perfect Fit - Totemland,0.89,2.0,"Niezalezne, Rekreacyjne",2019/05/02
6435,Darkness and a Crowd,0.97,2.0,"Niezalezne, Akcja, RPG, Strategiczne, Przygodowe",2019/05/02
6436,Tobe's Vertical Adventure,2.99,1.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
6437,Machine Gun Train Run,0.99,1.0,"Niezalezne, Akcja",2019/05/02
6438,Gon' E-Choo!,1.76,1.0,"Niezalezne, Symulacje, Akcja",2019/05/02
6439,Spacepowers,0.89,2.0,Akcja,2019/05/02
6440,Cryptocurrency Clicker,0.89,2.0,Symulacje,2019/05/02
6441,Synth Ninja,1.5,1.0,"Niezalezne, Wczesny dostep, Rekreacyjne",2019/05/02
6442,Arena of the Gods,0.69,4.0,"Niezalezne, Wczesny dostep, Akcja, RPG",2019/05/02
6443,Mind Maze,1.5,1.0,"Niezalezne, Symulacje, Akcja, Strategiczne, Rekreacyjne, MMO",2019/05/02
6444,_dive,0.5,2.0,"Niezalezne, Przygodowe",2019/05/02
6445,King of the Eggs,1.99,1.0,"Niezalezne, Rekreacyjne",2019/05/02
6446,Moccasin,2.0,1.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
6447,True Lover's Knot,0.75,2.0,"Niezalezne, Symulacje, Rekreacyjne",2019/05/02
6448,Zimbo,0.9,1.0,"Niezalezne, Symulacje, Akcja, Przygodowe, Wyscigi, Sportowe, Rekreacyjne",2019/05/02
6449,One Star,0.85,2.0,"Niezalezne, Akcja, RPG",2019/05/02
6450,The Haunting of Billy Classic,0.5,3.0,"Niezalezne, Akcja, Przygodowe, Rekreacyjne",2019/05/02
6451,Solaria Moon,0.85,4.0,"Niezalezne, Przygodowe",2019/05/02
6452,Not Without My Poop,0.5,9.0,"Niezalezne, Rekreacyjne",2019/05/02
6453,"Object ""Cleaning""",0.5,6.0,"Niezalezne, Akcja, Strategiczne, Przygodowe",2019/05/02
6454,Greedy Trolley,0.5,3.0,"Niezalezne, Rekreacyjne",2019/05/02
6455,The Filmmaker - A Text Adventure,1.0,1.0,"Niezalezne, Przygodowe, Rekreacyjne",2019/05/02
6456,Chilie Peppers,4.99,1.0,"Niezalezne, Przygodowe, Rekreacyjne",2019/05/02
6457,Naninights,1.05,5.0,"Niezalezne, Akcja, Strategiczne",2019/05/02
6458,Plant This,0.5,4.0,"Niezalezne, Symulacje, RPG, Strategiczne, Przygodowe, Rekreacyjne",2019/05/02
6459,Data Jammers: FastForward,0.84,1.0,"Niezalezne, Akcja",2019/05/02
6460,Anomaly Game Collection,8.0,1.0,"Niezalezne, Akcja, Strategiczne",2019/05/02
6461,Viki Spotter: The Farm,1.25,2.0,"Niezalezne, Rekreacyjne",2019/05/02
6462,Adelantado Trilogy. Book Three,0.84,1.0,"Symulacje, Strategiczne, Przygodowe, Rekreacyjne",2019/05/02
6463,Crimson Shift,1.0,1.0,"Niezalezne, RPG, Przygodowe",2019/05/02
6464,Ancient Rush 2,1.44,1.0,"Niezalezne, Akcja, Przygodowe, Rekreacyjne",2019/05/02
6465,Krampus Quest,1.49,1.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
6466,SwordBounce,2.49,1.0,"Niezalezne, Akcja",2019/05/02
6467,The Princess Adventure,2.49,1.0,"Niezalezne, Przygodowe, Rekreacyjne",2019/05/02
6468,Digital Resistance,1.0,1.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
6469,Dead In Bermuda,3.0,4.0,"Niezalezne, Symulacje, RPG, Strategiczne, Przygodowe",2019/05/02
6470,Fort Defense - Atlantic Ocean,1.2,1.0,"Niezalezne, Strategiczne, Przygodowe, Rekreacyjne",2019/05/02
6471,"GO AWAY, THERE'S KUMIS OVER THERE! - SOUNDTRACK",0.5,2.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/02
6472,Pixel Traffic: Highway Racing,0.9,1.0,"Niezalezne, Wyscigi, Rekreacyjne",2019/05/02
6473,Reflex (Easy game),0.7,2.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/02
6474,Battle vs Chess - Floating Island DLC,2.99,1.0,"Symulacje, Strategiczne, Rekreacyjne",2019/05/02
6475,Battle vs. Chess - Dark Desert DLC,2.99,1.0,"Symulacje, Strategiczne, Rekreacyjne",2019/05/02
6476,Bloodbath,9.9,1.0,Akcja,2019/05/02
6477,Flag N Frag,0.64,3.0,"Niezalezne, Akcja, Strategiczne, Sportowe",2019/05/02
6478,Zoo Rampage,0.79,3.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/02
6479,Elizabeth Find M.D. - Diagnosis Mystery - Season 2,3.5,1.0,Rekreacyjne,2019/05/02
6480,The Secret Monster Society,3.5,1.0,"Niezalezne, Przygodowe, Rekreacyjne",2019/05/02
6481,The Shopkeeper,3.5,1.0,"Niezalezne, Przygodowe",2019/05/02
6482,Pesadelo - Regressão,3.5,1.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
6483,HAWKEN - Prosk Starter Bundle,0.5,4.0,"Akcja, Darmowe",2019/05/02
6484,Bad birthday,3.5,1.0,"Niezalezne, Przygodowe",2019/05/02
6485,Kaptain Brawe: A Brawe New World,3.5,1.0,Przygodowe,2019/05/02
6486,Adventurezator: When Pigs Fly,3.5,1.0,"Niezalezne, Przygodowe",2019/05/02
6487,Empress Of The Deep,3.5,1.0,Przygodowe,2019/05/02
6488,Circle pong,0.5,8.0,"Niezalezne, Strategiczne, Rekreacyjne",2019/05/02
6489,Food From The Sky,0.5,5.0,"Niezalezne, Symulacje, Przygodowe, Rekreacyjne",2019/05/02
6490,Thick Light,0.5,2.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
6491,Little Miss Lonely,0.98,1.0,Niezalezne,2019/05/02
6492,Northern Tale 3,0.84,1.0,"Symulacje, Strategiczne, Przygodowe, Rekreacyjne",2019/05/02
6493,Fiends of Imprisonment,0.5,2.0,"Niezalezne, Rekreacyjne",2019/05/02
6494,Break Into Zatwor,0.5,2.0,"Niezalezne, Rekreacyjne",2019/05/02
6495,The Next Door,0.5,4.0,"Niezalezne, Przygodowe, Rekreacyjne",2019/05/02
6496,Crusaders of the Lost Idols - Epic Starter Pack,0.5,3.0,"Niezalezne, Rekreacyjne, Darmowe",2019/05/02
6497,Snake Party,0.5,2.0,"Niezalezne, Wyscigi",2019/05/02
6498,Heroes of Myths - Warriors of Gods,1.44,1.0,"Akcja, RPG, Strategiczne, Rekreacyjne",2019/05/02
6499,The Maker's Eden,3.5,1.0,"Przygodowe, Rekreacyjne",2019/05/02
6500,Gone In November Collector's Edition,3.5,1.0,"Niezalezne, Przygodowe",2019/05/02
6501,9.03m,3.5,1.0,Niezalezne,2019/05/02
6502,Tales From The Dragon Mountain: The Strix,3.5,1.0,Rekreacyjne,2019/05/02
6503,Journey of the King,3.5,1.0,"Niezalezne, Wczesny dostep, RPG, Przygodowe",2019/05/02
6504,Unhappy Ever After,2.99,1.0,"Niezalezne, RPG, Przygodowe",2019/05/02
6505,Dawn's Light 2,3.5,1.0,"Niezalezne, RPG, Strategiczne, Przygodowe",2019/05/02
6506,Curse of the Assassin,3.5,1.0,"Niezalezne, RPG, Przygodowe",2019/05/02
6507,Monstro: Battle Tactics,3.5,1.0,"Niezalezne, Strategiczne, Rekreacyjne",2019/05/02
6508,Mythos: The Beginning,3.5,1.0,"RPG, Przygodowe",2019/05/02
6509,Coldfire Keep,3.5,1.0,RPG,2019/05/02
6510,Across The Rhine,3.5,1.0,Strategiczne,2019/05/02
6511,Human Extinction Simulator,3.5,1.0,"Niezalezne, Symulacje, Strategiczne",2019/05/02
6512,Castle Chaos,3.5,1.0,"Niezalezne, Akcja, Strategiczne",2019/05/02
6513,Raging Titan,3.5,1.0,Strategiczne,2019/05/02
6514,Forgotten Lore,3.5,1.0,"Niezalezne, Strategiczne, Rekreacyjne, MMO",2019/05/02
6515,OTTTD,3.5,1.0,"Niezalezne, Strategiczne",2019/05/02
6516,Redneck Racers,3.5,1.0,Rekreacyjne,2019/05/02
6517,Judas,3.5,1.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
6518,1953 - KGB Unleashed,3.5,1.0,Przygodowe,2019/05/02
6519,The Fall of Gods,3.5,1.0,"Niezalezne, Akcja, RPG, Strategiczne, Przygodowe",2019/05/02
6520,Optika,2.99,1.0,"Niezalezne, Przygodowe, Rekreacyjne",2019/05/02
6521,Battle Of Worldviews,0.5,2.0,"Niezalezne, Strategiczne",2019/05/02
6522,Copter and Sky,0.75,2.0,"Niezalezne, Symulacje, Akcja, Rekreacyjne",2019/05/02
6523,Turret Tech,1.99,1.0,"Akcja, Przygodowe",2019/05/02
6524,Sproggiwood,15.0,1.0,"Niezalezne, RPG, Strategiczne",2019/05/02
6525,inVokeR,1.0,2.0,"Niezalezne, Wczesny dostep, Akcja",2019/05/02
6526,Loot Rascals Soundtrack,0.5,5.0,"Niezalezne, RPG, Przygodowe",2019/05/02
6527,Puzzle Galaxies,0.5,2.0,"Niezalezne, Rekreacyjne",2019/05/02
6528,8BitBoy,0.7,1.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/02
6529,Hentai University 2: Biology course,3.99,1.0,"Niezalezne, RPG, Rekreacyjne",2019/05/02
6530,Gray Cat,1.5,1.0,"Niezalezne, Przygodowe",2019/05/02
6531,Space Trader: Merchant Marine,0.5,12.0,"Niezalezne, Akcja, Strategiczne",2019/05/02
6532,Data Hacker: Corruption,0.5,8.0,"Niezalezne, Symulacje, RPG, Przygodowe",2019/05/02
6533,Diabolic,1.5,1.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
6534,ROAD OF DANGER,1.5,1.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
6535,Action Rush,0.5,1.0,"Niezalezne, Rekreacyjne",2019/05/02
6536,Dark Grim Mariupolis,2.52,1.0,"Niezalezne, Przygodowe",2019/05/02
6537,This Book Is A Dungeon,1.0,2.0,"Niezalezne, Przygodowe",2019/05/02
6538,Hitman Absolution DLC Collection,5.0,1.0,Akcja,2019/05/02
6539,Santa Runner,1.0,2.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/02
6540,CLICKER ACHIEVEMENTS - THE IMPOSSIBLE CHALLENGE,0.5,1.0,"Niezalezne, Rekreacyjne",2019/05/02
6541,Weapon of Choice,1.0,1.0,"Niezalezne, Akcja",2019/05/02
6542,Nusakana,6.0,1.0,"Niezalezne, RPG, Przygodowe",2019/05/02
6543,Inherit the Earth: Quest for the Orb,2.75,4.0,"Przygodowe, Rekreacyjne",2019/05/02
6544,8-Bit Commando,1.99,1.0,"Niezalezne, Akcja",2019/05/02
6545,Ravenmark: Scourge of Estellion,11.0,1.0,"RPG, Strategiczne",2019/05/02
6546,Yashik,0.5,2.0,"Niezalezne, Rekreacyjne",2019/05/02
6547,A Wild Catgirl Appears!,1.5,1.0,Przygodowe,2019/05/02
6548,Maelstrom: The Battle for Earth Begins,3.0,2.0,Strategiczne,2019/05/02
6549,Car Demolition Clicker,10.0,1.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/02
6550,Battle of the Bulge,1.8,3.0,Strategiczne,2019/05/02
