,Game,Price,Offers,Tags,Day
68,Who's Your Daddy,4.5,3.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/02
69,Hotel Dracula,2.0,2.0,"Symulacje, Strategiczne, Rekreacyjne",2019/05/02
70,Rapture Rejects,1.5,12.0,"Niezalezne, Wczesny dostep, Akcja, MMO",2019/05/02
71,Kentucky Route Zero,3.5,7.0,"Niezalezne, Przygodowe",2019/05/02
72,Darksiders II Deathinitive Edition,4.25,8.0,"Akcja, RPG, Przygodowe",2019/05/02
73,Rock of Ages 2: Bigger & Boulder,5.5,8.0,"Niezalezne, Akcja, Strategiczne, Wyscigi",2019/05/02
74,Civilization VI - Australia Civilization & Scenario Pack,6.45,6.0,Strategiczne,2019/05/02
75,Last Day of June,3.25,10.0,"Niezalezne, Przygodowe",2019/05/02
76,GALAK-Z,0.5,10.0,"Niezalezne, Akcja",2019/05/02
77,"Warhammer 40,000: Dawn of War III",18.0,8.0,"Symulacje, Akcja, Strategiczne",2019/05/02
78,Hyperdimension Neptunia Re;Birth1,8.25,8.0,"RPG, Strategiczne",2019/05/02
79,The First Tree,3.0,9.0,"Niezalezne, Przygodowe",2019/05/02
80,Mech Rage,1.19,2.0,"Niezalezne, Akcja",2019/05/02
81,Diaries of a Spaceport Janitor,3.5,4.0,"Niezalezne, Symulacje, RPG, Przygodowe, Rekreacyjne",2019/05/02
82,Hearts of Iron III Collection,2.4,10.0,Strategiczne,2019/05/02
83,Bad Dream: Coma,0.74,11.0,"Niezalezne, Przygodowe",2019/05/02
84,LEGO Harry Potter: Years 1-4,2.9,5.0,"Akcja, Przygodowe",2019/05/02
85,Out of the Park Baseball 14,1.68,1.0,"Niezalezne, Symulacje, Sportowe",2019/05/02
86,GOD EATER RESURRECTION,9.7,2.0,"Akcja, RPG",2019/05/02
87,Minit,0.8,39.0,"Niezalezne, Przygodowe",2019/05/02
88,LEGO Worlds,14.5,11.0,Przygodowe,2019/05/02
89,FINAL FANTASY XIV Online - Starter Edition,14.99,1.0,"RPG, MMO",2019/05/02
90,Cultist Simulator,6.8,20.0,"Niezalezne, Symulacje, RPG",2019/05/02
91,LEGO City Undercover,19.9,1.0,Akcja,2019/05/02
92,Stellaris,22.0,17.0,"Symulacje, Strategiczne",2019/05/02
93,Fallout 3,4.49,4.0,RPG,2019/05/02
94,Guts and Glory,6.0,4.0,"Niezalezne, Akcja, Wyscigi, Rekreacyjne",2019/05/02
95,Crucible Trails : Initial Rupture,10.0,2.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
96,Gloom: Digital Edition,1.16,8.0,"Niezalezne, Strategiczne, Rekreacyjne",2019/05/02
97,Major Mayhem,1.24,1.0,"Niezalezne, Akcja, Przygodowe, Rekreacyjne",2019/05/02
98,Demigod,15.79,2.0,"Akcja, RPG, Strategiczne",2019/05/02
99,Slipstream,0.69,25.0,"Niezalezne, Wyscigi, Rekreacyjne",2019/05/02
100,City Escaper,0.75,2.0,Niezalezne,2019/05/02
101,The Low Road,4.2,6.0,"Niezalezne, Przygodowe",2019/05/02
102,Star Wars Jedi Knight: Jedi Academy,2.9,15.0,Akcja,2019/05/02
103,Star Wars Jedi Knight II: Jedi Outcast,3.79,12.0,Akcja,2019/05/02
104,Project Highrise,4.85,14.0,"Symulacje, Strategiczne",2019/05/02
105,Narcosis,9.8,6.0,"Niezalezne, Przygodowe",2019/05/02
106,Anima Gate of Memories,5.4,6.0,"Akcja, RPG, Przygodowe",2019/05/02
107,BARRIER X,0.6,5.0,"Niezalezne, Akcja",2019/05/02
108,The Sexy Brutale,2.2,14.0,"Niezalezne, Przygodowe",2019/05/02
109,Baseball Riot,1.7,2.0,"Niezalezne, Sportowe, Rekreacyjne",2019/05/02
110,Insane 2,2.44,4.0,Wyscigi,2019/05/02
111,Sparkle Unleashed,1.8,3.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/02
112,GT Legends,2.34,3.0,"Symulacje, Wyscigi, Sportowe",2019/05/02
113,SEUM: Speedrunners from Hell,0.94,14.0,"Niezalezne, Akcja",2019/05/02
114,The Spatials,2.39,6.0,"Niezalezne, Symulacje, RPG",2019/05/02
115,Pathfinder Adventures - Obsidian Edition,13.29,2.0,"RPG, Strategiczne",2019/05/02
116,Bohemian Killing,2.19,6.0,"Niezalezne, Przygodowe",2019/05/02
117,Scythe: Digital Edition,24.38,3.0,Strategiczne,2019/05/02
118,The Detail Season One,7.24,5.0,"Niezalezne, Przygodowe",2019/05/02
119,Mashed,1.24,3.0,Wyscigi,2019/05/02
120,Zero Gear,1.19,3.0,"Niezalezne, Akcja, Wyscigi, Sportowe",2019/05/02
121,GTR Evolution (inc. RACE 07 and Formula RaceRoom Add-On),1.39,4.0,"Symulacje, Wyscigi",2019/05/02
122,Drift Streets Japan,1.29,7.0,"Niezalezne, Symulacje, Akcja, Wyscigi, Sportowe, MMO",2019/05/02
123,Protect your planet,0.5,3.0,"Niezalezne, Symulacje, Rekreacyjne",2019/05/02
124,GRID 2,3.0,11.0,"Wyscigi, Sportowe",2019/05/02
125,Daddy,0.87,4.0,Niezalezne,2019/05/02
126,Bunny - The Horror Game,1.4,2.0,Niezalezne,2019/05/02
127,Grandpa,1.15,2.0,Niezalezne,2019/05/02
128,The Artifact,1.45,3.0,Niezalezne,2019/05/02
129,Impact Winter,2.85,13.0,"Niezalezne, Symulacje, Przygodowe",2019/05/02
130,T.A.P.,1.49,1.0,"Akcja, Strategiczne, Rekreacyjne",2019/05/02
131,7 Grand Steps: What Ancients Begat,1.5,2.0,"Niezalezne, Symulacje, Strategiczne, Rekreacyjne",2019/05/02
132,Clustertruck,9.5,3.0,"Niezalezne, Akcja",2019/05/02
133,Poker Night 2,3.0,2.0,"Sportowe, Rekreacyjne",2019/05/02
134,Block Survival: Legend of the Lost Islands,2.5,1.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
135,She Remembered Caterpillars,0.5,35.0,Niezalezne,2019/05/02
136,Sins of a Solar Empire: Rebellion,3.5,9.0,"Niezalezne, Strategiczne",2019/05/02
137,Sonic the Hedgehog 4 - Episode I,3.98,5.0,"Akcja, Przygodowe",2019/05/02
138,XCOM: Enemy Unknown - The Complete Edition,28.5,2.0,Strategiczne,2019/05/02
139,Dungeon Siege,6.8,4.0,RPG,2019/05/02
140,Fire,7.2,4.0,"Niezalezne, Przygodowe, Rekreacyjne",2019/05/02
141,Blackguards Franchise Bundle,14.2,2.0,"Niezalezne, RPG, Strategiczne, Przygodowe",2019/05/02
142,BioShock Infinite,19.5,6.0,Akcja,2019/05/02
143,Bomber Crew,9.7,8.0,"Symulacje, Strategiczne",2019/05/02
144,NeonGalaxy Wars,0.5,3.0,"Niezalezne, Rekreacyjne",2019/05/02
145,Nova-111,2.7,3.0,"Niezalezne, Akcja, Strategiczne, Przygodowe",2019/05/02
146,Tank Blazers,0.94,2.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/02
147,The Descendant Full Season,6.75,3.0,"Niezalezne, Przygodowe, Rekreacyjne",2019/05/02
148,Heart and Axe,0.94,3.0,Przygodowe,2019/05/02
149,Jelly Bomber,0.89,1.0,"Niezalezne, Wczesny dostep, Strategiczne, Rekreacyjne",2019/05/02
150,Chaos Village,0.89,1.0,"Niezalezne, Akcja, RPG",2019/05/02
151,EvilQuest,0.88,5.0,"Niezalezne, Akcja, RPG, Przygodowe",2019/05/02
152,Syndrome,6.35,2.0,"Akcja, Przygodowe",2019/05/02
153,Phantom Trigger,3.95,4.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
154,THE LAST BLADE,3.99,2.0,Akcja,2019/05/02
155,Oddworld: New 'n' Tasty,10.5,2.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
156,WASTED,1.3,2.0,"Niezalezne, Akcja, RPG",2019/05/02
157,Heroes of Hammerwatch,15.0,3.0,"Niezalezne, Akcja, RPG",2019/05/02
158,HunieCam Studio,3.75,2.0,"Niezalezne, Symulacje",2019/05/02
159,A Magical High School Girl,2.9,2.0,"Niezalezne, RPG, Przygodowe, Rekreacyjne",2019/05/02
160,Tom Clancy's The Division - Survival,4.0,1.0,"Akcja, RPG, Przygodowe",2019/05/02
161,Snakebird,15.0,1.0,Niezalezne,2019/05/02
162,Pirate Pop Plus,1.95,2.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/02
163,IHF Handball Challenge 14,7.99,1.0,Sportowe,2019/05/02
164,11-11 Memories Retold,7.95,11.0,"Przygodowe, Rekreacyjne",2019/05/02
165,Vendetta - Curse of Raven's Cry Deluxe Edition,14.99,1.0,"Niezalezne, Akcja, RPG",2019/05/02
166,Shelter,4.99,1.0,"Niezalezne, Przygodowe",2019/05/02
167,The Swindle,6.75,4.0,"Niezalezne, Akcja, RPG",2019/05/02
168,"Bye-Bye, Wacky Planet",2.99,1.0,"Niezalezne, Akcja, Przygodowe, Rekreacyjne",2019/05/02
169,Two Worlds Collection,9.99,1.0,"RPG, Strategiczne",2019/05/02
170,E.T. Armies,1.75,4.0,Akcja,2019/05/02
171,Deadbeat Heroes,4.0,1.0,Akcja,2019/05/02
172,The LEGO Movie - Videogame,5.45,7.0,"Akcja, Przygodowe",2019/05/02
173,PewDiePie: Legend of the Brofist,1.89,3.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
174,Valnir Rok,6.5,3.0,"Niezalezne, Wczesny dostep, Akcja, RPG, MMO",2019/05/02
175,Offworld Trading Company,4.75,10.0,"Niezalezne, Symulacje, Strategiczne",2019/05/02
176,We Are The Dwarves,1.6,9.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
177,Airport Madness: Time Machine,2.95,2.0,Przygodowe,2019/05/02
178,Rising Storm 2: Vietnam,18.0,3.0,"Symulacje, Akcja, Strategiczne, MMO",2019/05/02
179,Miasmata,1.99,7.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
180,The Mims Beginning,1.0,5.0,"Niezalezne, Symulacje, Strategiczne",2019/05/02
181,Northgard,35.0,4.0,"Niezalezne, Symulacje, Strategiczne",2019/05/02
182,Enemy Front,4.0,7.0,Akcja,2019/05/02
183,NEON STRUCT,7.0,1.0,"Niezalezne, Akcja",2019/05/02
184,Psychonauts,1.0,5.0,Akcja,2019/05/02
185,Ceville,1.2,2.0,"Akcja, Strategiczne, Przygodowe",2019/05/02
186,"Warhammer 40,000: Dawn of War - Game of the Year Edition",1.9,11.0,Strategiczne,2019/05/02
187,LEGO Batman 3: Beyond Gotham,7.39,5.0,"Akcja, Przygodowe",2019/05/02
188,Project Remedium,0.9,8.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
189,Freedom Defender,0.5,7.0,"Niezalezne, Strategiczne, Rekreacyjne",2019/05/02
190,Future Proof,0.5,4.0,"Niezalezne, Przygodowe",2019/05/02
191,Oil Baron,0.5,2.0,"Niezalezne, Symulacje, Strategiczne",2019/05/02
192,Root Double -Before Crime * After Days- Xtend Edition,3.95,7.0,Przygodowe,2019/05/02
193,Project CARS 2,41.7,6.0,Wyscigi,2019/05/02
194,Wizard of Legend,8.5,13.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
195,StandPoint,7.99,1.0,"Niezalezne, Akcja",2019/05/02
196,Zombie Army Trilogy,11.9,5.0,Akcja,2019/05/02
197,Toto Temple Deluxe,7.99,1.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/02
198,Meridian: Age of Invention,3.0,2.0,Rekreacyjne,2019/05/02
199,Acaratus,7.0,1.0,"Niezalezne, RPG, Strategiczne, Przygodowe",2019/05/02
200,One Last Chance,0.8,4.0,"Niezalezne, Symulacje, Rekreacyjne",2019/05/02
201,VRZ Torment,0.7,2.0,"Niezalezne, Akcja, RPG, Przygodowe",2019/05/02
202,Last Heroes,0.8,2.0,"Niezalezne, RPG, Przygodowe, Rekreacyjne",2019/05/02
203,Twist of Destiny,0.7,4.0,"Niezalezne, Wczesny dostep, RPG, Przygodowe",2019/05/02
204,Midsummer Night,1.0,2.0,"Przygodowe, Rekreacyjne",2019/05/02
205,MadSpace: To Hell and Beyond,1.5,2.0,Akcja,2019/05/02
206,Captive,0.5,2.0,"Niezalezne, RPG",2019/05/02
207,Earthtongue,1.0,3.0,"Niezalezne, Symulacje",2019/05/02
208,Girls Like Robots,1.0,1.0,"Niezalezne, Przygodowe, Rekreacyjne",2019/05/02
209,Volgarr the Viking,2.8,2.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
210,Moto Racer  4,3.0,3.0,Wyscigi,2019/05/02
211,Shield Impact,0.8,2.0,"Niezalezne, Akcja",2019/05/02
212,The Reject Demon: Toko Chapter 0 - Prelude,0.8,3.0,"Niezalezne, Rekreacyjne",2019/05/02
213,Intralism,0.8,4.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/02
214,Karma. Incarnation 1,1.0,5.0,"Niezalezne, Przygodowe, Rekreacyjne",2019/05/02
215,Moss Destruction,1.0,2.0,"Niezalezne, Akcja",2019/05/02
216,Suits: A Business RPG,0.8,3.0,"Niezalezne, Akcja, RPG, Przygodowe",2019/05/02
217,Small Town Terrors: Galdor's Bluff Collector's Edition,0.9,2.0,"Przygodowe, Rekreacyjne",2019/05/02
218,JumpJet Rex,1.2,6.0,"Niezalezne, Akcja, Przygodowe, Wyscigi",2019/05/02
219,Renegade Ops Collection,3.9,7.0,Akcja,2019/05/02
220,The Rare Nine,0.6,3.0,"Niezalezne, Wczesny dostep, Akcja",2019/05/02
221,Snik,0.6,2.0,"Niezalezne, Rekreacyjne",2019/05/02
222,Haegemonia: Legions of Iron,0.7,1.0,"Niezalezne, Akcja, Strategiczne",2019/05/02
223,The Descendant,3.0,3.0,"Niezalezne, Przygodowe, Rekreacyjne",2019/05/02
224,The Surprising Adventures of Munchausen,3.99,1.0,"Niezalezne, Przygodowe, Rekreacyjne",2019/05/02
225,Convoy,6.99,2.0,"Niezalezne, Akcja, RPG, Strategiczne, Przygodowe",2019/05/02
226,Clumsy Moose Season,2.99,1.0,"Niezalezne, Symulacje, Akcja, Przygodowe, Wyscigi, Sportowe, Rekreacyjne",2019/05/02
227,Replay - VHS is not dead,6.99,1.0,"Niezalezne, Przygodowe",2019/05/02
228,Super Lovely Planet,3.99,2.0,Niezalezne,2019/05/02
229,Gunman Taco Truck,3.99,2.0,"Niezalezne, Akcja, Strategiczne",2019/05/02
230,Dragonpath,5.99,2.0,"Niezalezne, Akcja, RPG",2019/05/02
231,Rage Runner,3.99,2.0,"Niezalezne, Symulacje, Akcja, Wyscigi, Rekreacyjne",2019/05/02
232,Felt Tip Circus,3.9,1.0,"Niezalezne, Akcja, Rekreacyjne",2019/05/02
233,Ink Plane,1.49,2.0,"Niezalezne, Rekreacyjne",2019/05/02
234,Frog Hop,1.59,2.0,"Niezalezne, Akcja, Przygodowe",2019/05/02
235,Battle vs Chess,3.0,2.0,"Strategiczne, Rekreacyjne",2019/05/02
236,LEGO The Lord of the Rings,3.99,2.0,"Akcja, Przygodowe",2019/05/02
237,LEGO Batman 2 DC Super Heroes,4.49,7.0,"Akcja, Przygodowe",2019/05/02
238,The Turing Test,9.89,4.0,Przygodowe,2019/05/02
239,Poly Bridge,6.99,5.0,"Niezalezne, Symulacje",2019/05/02
240,LEGO Harry Potter: Years 5-7,8.49,5.0,Przygodowe,2019/05/02
241,Disciples Sacred Lands Gold,5.7,2.0,Strategiczne,2019/05/02
242,Borderlands 2: Ultimate Vault Hunters Upgrade Pack,1.2,5.0,"Akcja, RPG",2019/05/02
243,Grand Pigeon's Duty,1.5,1.0,"Niezalezne, Symulacje, Akcja, RPG, Strategiczne, Przygodowe, Rekreacyjne",2019/05/02
244,Velocibox,3.18,2.0,"Niezalezne, Akcja",2019/05/02
245,Galaxy Squad,8.5,4.0,"Wczesny dostep, Strategiczne",2019/05/02
246,Killing Floor,1.9,9.0,Akcja,2019/05/02
247,Overlord + Raising Hell,5.0,1.0,"Akcja, Strategiczne",2019/05/02
248,One More Dungeon,1.99,4.0,"Niezalezne, Akcja, RPG",2019/05/02
249,Fairy Fencer F ADF Veteran Fencer Armor Set | 上級フェンサー防具セット | 高階劍士防具套組,2.99,2.0,RPG,2019/05/02
250,Fairy Fencer F ADF Veteran Fencer Accessory Set | 上級フェンサー装飾品セット | 高階劍士飾品套組,2.99,2.0,RPG,2019/05/02
251,Fairy Fencer F ADF Fairy Set 1: Ahab and Leela | 妖聖セット１『アハブ』『リーラ』 | 妖聖套組１「亞哈」「里拉」,2.99,2.0,RPG,2019/05/02
252,Fairy Fencer F ADF Ultimate Fencer Armor Set | 最強フェンサー防具セット | 最強劍士防具套組,2.99,2.0,RPG,2019/05/02
253,Fairy Fencer F ADF Ultimate Fencer Accessory Set | 最強フェンサー装飾品セット | 最強妖聖飾品套組,2.99,2.0,RPG,2019/05/02
254,Fairy Fencer F ADF Fairy Set 2: Aques and Drulger | 妖聖セット２『アクエス』『ドルルガー』 | 妖聖套組２「阿克耶斯」「特魯魯格」,2.99,2.0,RPG,2019/05/02
255,Fairy Fencer F ADF Fairy Set 3: Lars and Foxer | 妖聖セット３『ラース』『フォクサー』 | 妖聖套組３「拉斯」「弗克沙」,2.99,2.0,RPG,2019/05/02
256,Shut Eye,1.99,2.0,"Niezalezne, Akcja, Przygodowe, Rekreacyjne",2019/05/02
